author,publisherName,salesDate,reviewAverage,reviewCount,title
フレアリンク/須藤秋良,インプレス,2020年10月16日頃,5.0,2,スッキリわかるPythonによる機械学習入門
株式会社アイデミー 山口達輝/松田洋之,技術評論社,2019年09月02日頃,4.0,6,図解即戦力　機械学習&ディープラーニングのしくみと技術がこれ1冊でしっかりわかる教科書
加納政芳/山田雅之,コロナ社,2017年12月,0.0,0,人工知能原理
布留川 英一,ボーンデジタル,2019年06月28日頃,4.5,2,AlphaZero 深層学習・強化学習・探索 人工知能プログラミング実践入門
甘利　俊一,サイエンス社,2019年11月21日頃,0.0,0,☆新版☆　情報幾何学の新展開
マルコス・ロペス・デ・プラド/長尾慎太郎,金融財政事情研究会,2019年12月,5.0,1,ファイナンス機械学習
Sebastian Raschka;Vahid Mirjalili/株式会社クイープ　訳/福島 真太朗　監訳,インプレス,2020年10月22日頃,5.0,3,［第3版］Python機械学習プログラミング 達人データサイエンティストによる理論と実践
森 巧尚,翔泳社,2021年12月06日頃,3.0,1,Python3年生 機械学習のしくみ 体験してわかる！会話でまなべる！
岡崎 直観/荒瀬 由紀,オーム社,2022年08月24日頃,0.0,1,IT Text 自然言語処理の基礎
Sebastian Raschka、 Yuxi (Hayden) Liu、 Vahid Mirjalili/株式会社クイープ,インプレス,2022年12月15日頃,0.0,0,Python機械学習プログラミング PyTorch＆scikit-learn編
高橋 海渡/立川 裕之,技術評論社,2023年01月04日,3.5,2,図解即戦力　AIのしくみと活用がこれ1冊でしっかりわかる教科書
ヤン ジャクリン,SBクリエイティブ,2023年02月01日頃,0.0,0,これで完璧 ディープラーニングG検定(ジェネラリスト)最強の「合格」問題集
田村雅人/中村克行,インプレス,2023年03月22日頃,0.0,0,Pythonで学ぶ画像認識 機械学習実践シリーズ
五十嵐 一,森北出版,2023年03月01日頃,0.0,0,電磁界解析による最適設計
株式会社ダブダブ代表取締役 データサイエンティスト 上野 佑馬,ソシム,2023年02月27日頃,4.0,3,一生モノのビジネス教養 データサイエンス大全 シンプルにわかる49の用語と13の実践
チーム・カルポ,秀和システム,2023年05月11日頃,0.0,0,Python統計分析＆機械学習マスタリングハンドブック
清水　隆史/淺田　晃佑,学術図書出版社,2023年04月06日頃,0.0,0,実践 マーケティングデータサイエンス
清水　秀幸,羊土社,2023年03月28日頃,0.0,0,Pythonで実践　生命科学データの機械学習
田中 衞/西尾 芳文,コロナ社,2023年04月19日頃,0.0,0,機械学習と回路
AI白書編集委員会,角川アスキー総合研究所,2023年05月10日頃,0.0,0,AI白書　2023
Pradeepta Mishra/株式会社クイープ,インプレス,2023年06月20日,0.0,0,実践XAI［説明可能なAI］ 機械学習の予測を説明するためのPythonコーディング
杉山将,オーム社,2009年09月,4.0,1,統計的機械学習
高村大也,コロナ社,2010年08月,4.63,10,言語処理のための機械学習入門
ノーバート・ウィーナー/池原　止戈夫,岩波書店,2011年06月16日頃,4.07,20,サイバネティックス（ウィーナー）
クリストファー・M．ビショップ/元田浩,丸善出版,2012年03月,4.0,4,パターン認識と機械学習（下）
クリストファー・M．ビショップ/元田浩,丸善出版,2012年05月,4.67,10,パターン認識と機械学習（上）
後藤正幸/小林学（情報工学）,コロナ社,2014年04月,0.0,0,入門パターン認識と機械学習
ダニエル・ヒリス/倉骨彰,草思社,2014年06月03日頃,3.56,17,文庫　思考する機械　コンピュータ
ウィリ・リチャート/ルイス・ペドロ・コエーリョ,オライリー・ジャパン,2014年10月,3.33,8,実践機械学習システム
小林 雅一,講談社,2015年03月19日頃,3.73,85,AIの衝撃　人工知能は人類の敵か
